E(Gpa),v,Cond(W/m-K),CTE(µm/m-°C),Temp(°C),ETemp(GPa)
105.0,0.346,123.0,2.08,101.0,98.55511
105.0,0.346,123.0,2.08,163.0,94.95494000000001
105.0,0.346,123.0,2.08,185.0,93.73973
105.0,0.346,123.0,2.08,266.0,89.52132
105.0,0.346,123.0,2.08,289.0,88.39155000000001
105.0,0.346,123.0,2.08,416.0,82.63267
105.0,0.346,123.0,2.08,594.0,75.71619
110.0,0.38,137.0,1.89,-22.0,111.57704
110.0,0.38,137.0,1.89,8.0,109.51937
110.0,0.38,137.0,1.89,43.0,107.21194
110.0,0.38,137.0,1.89,115.0,102.75768
110.0,0.38,137.0,1.89,151.0,100.66621
110.0,0.38,137.0,1.89,196.0,98.1687
110.0,0.38,137.0,1.89,267.0,94.46956
110.0,0.38,137.0,1.89,305.0,92.60181
110.0,0.38,137.0,1.89,417.0,87.50174000000001
110.0,0.38,137.0,1.89,582.0,80.9327
110.0,0.28,123.0,1.86,-4.0,110.28482000000001
110.0,0.28,123.0,1.86,-9.0,110.62451
110.0,0.28,123.0,1.86,35.0,107.70474
110.0,0.28,123.0,1.86,109.0,103.12728
110.0,0.28,123.0,1.86,140.0,101.32315
110.0,0.28,123.0,1.86,214.0,97.26111
110.0,0.28,123.0,1.86,230.0,96.42502
110.0,0.28,123.0,1.86,300.0,92.93047
110.0,0.28,123.0,1.86,417.0,87.62205
110.0,0.28,123.0,1.86,582.0,81.08796000000001
115.0,0.307,159.0,1.8699999999999997,-40.0,118.06378
115.0,0.307,159.0,1.8699999999999997,-7.0,115.54606
115.0,0.307,159.0,1.8699999999999997,48.0,111.58114
115.0,0.307,159.0,1.8699999999999997,96.0,108.33621000000001
115.0,0.307,159.0,1.8699999999999997,158.0,104.41341
115.0,0.307,159.0,1.8699999999999997,189.0,102.55646
115.0,0.307,159.0,1.8699999999999997,269.0,98.05561
115.0,0.307,159.0,1.8699999999999997,293.0,96.78161999999999
115.0,0.307,159.0,1.8699999999999997,396.0,91.66803999999999
115.0,0.307,159.0,1.8699999999999997,617.0,82.33161
115.0,0.307,159.0,1.8699999999999997,-26.0,116.98236999999999
115.0,0.307,159.0,1.8699999999999997,11.0,114.21803999999999
115.0,0.307,159.0,1.8699999999999997,54.0,111.16467
115.0,0.307,159.0,1.8699999999999997,107.0,107.61899000000001
115.0,0.307,159.0,1.8699999999999997,137.0,105.70991000000001
115.0,0.307,159.0,1.8699999999999997,183.0,102.91061
115.0,0.307,159.0,1.8699999999999997,263.0,98.37935
115.0,0.307,159.0,1.8699999999999997,315.0,95.64201
115.0,0.307,159.0,1.8699999999999997,407.0,91.15369
115.0,0.307,159.0,1.8699999999999997,614.0,82.44559
105.0,0.35,123.0,2.08,-32.0,107.27935000000001
105.0,0.35,123.0,2.08,12.0,104.2287
105.0,0.35,123.0,2.08,43.0,102.18145
105.0,0.35,123.0,2.08,96.0,98.86127
105.0,0.35,123.0,2.08,139.0,96.32159
105.0,0.35,123.0,2.08,205.0,92.66719
105.0,0.35,123.0,2.08,258.0,89.92712
105.0,0.35,123.0,2.08,294.0,88.15637
105.0,0.35,123.0,2.08,389.0,83.80084
105.0,0.35,123.0,2.08,590.0,75.86736
105.0,0.346,115.0,2.03,-27.0,106.87656
105.0,0.346,115.0,2.03,-5.0,105.37656
105.0,0.346,115.0,2.03,66.0,100.81019
105.0,0.346,115.0,2.03,83.0,99.77482
105.0,0.346,115.0,2.03,169.0,94.8468
105.0,0.346,115.0,2.03,180.0,94.25107000000001
105.0,0.346,115.0,2.03,263.0,89.98741
105.0,0.346,115.0,2.03,311.0,87.69283
105.0,0.346,115.0,2.03,399.0,83.77563
105.0,0.346,115.0,2.03,599.0,76.05239999999999
112.0,0.38,49.0,1.4,-31.0,113.70424
112.0,0.38,49.0,1.4,-10.0,112.58602
112.0,0.38,49.0,1.4,43.0,109.85986
112.0,0.38,49.0,1.4,117.0,106.26702
112.0,0.38,49.0,1.4,135.0,105.42792
112.0,0.38,49.0,1.4,183.0,103.25422999999999
112.0,0.38,49.0,1.4,254.0,100.19819
112.0,0.38,49.0,1.4,305.0,98.11224
112.0,0.38,49.0,1.4,414.0,93.93164999999999
112.0,0.38,49.0,1.4,615.0,87.08664
105.0,0.346,115.0,2.03,-36.0,107.50223
105.0,0.346,115.0,2.03,6.0,104.64206
105.0,0.346,115.0,2.03,31.0,103.01089999999999
105.0,0.346,115.0,2.03,110.0,98.17353
105.0,0.346,115.0,2.03,150.0,95.89325
105.0,0.346,115.0,2.03,194.0,93.50399
105.0,0.346,115.0,2.03,248.0,90.72917
105.0,0.346,115.0,2.03,310.0,87.73926
105.0,0.346,115.0,2.03,394.0,83.98885
105.0,0.346,115.0,2.03,600.0,76.0171
105.0,0.346,115.0,2.03,-6.0,105.44358
105.0,0.346,115.0,2.03,-11.0,105.78125999999999
105.0,0.346,115.0,2.03,47.0,101.99319
105.0,0.346,115.0,2.03,104.0,98.52479
105.0,0.346,115.0,2.03,149.0,95.94903
105.0,0.346,115.0,2.03,182.0,94.14374000000001
105.0,0.346,115.0,2.03,261.0,90.08547999999999
105.0,0.346,115.0,2.03,300.0,88.20799000000001
105.0,0.346,115.0,2.03,384.0,84.41836
105.0,0.346,115.0,2.03,605.0,75.84247
115.0,0.307,173.0,1.86,-11.0,115.84158000000001
115.0,0.307,173.0,1.86,-18.0,116.36613
115.0,0.307,173.0,1.86,55.0,111.11611
115.0,0.307,173.0,1.86,84.0,109.1595
115.0,0.307,173.0,1.86,157.0,104.52575
115.0,0.307,173.0,1.86,180.0,103.14603
115.0,0.307,173.0,1.86,247.0,99.32649
115.0,0.307,173.0,1.86,309.0,99.32649
115.0,0.307,173.0,1.86,387.0,92.19153
115.0,0.307,173.0,1.86,580.0,83.88212
110.0,0.375,140.0,1.91,-11.0,110.81966
110.0,0.375,140.0,1.91,0.0,110.05822
110.0,0.375,140.0,1.91,49.0,106.7884
110.0,0.375,140.0,1.91,83.0,104.63095
110.0,0.375,140.0,1.91,166.0,99.71329
110.0,0.375,140.0,1.91,217.0,96.91356
110.0,0.375,140.0,1.91,244.0,95.49388
110.0,0.375,140.0,1.91,283.0,93.515
110.0,0.375,140.0,1.91,396.0,88.21731
110.0,0.375,140.0,1.91,614.0,79.52267
105.0,0.346,115.0,2.03,-6.0,105.44358
105.0,0.346,115.0,2.03,-3.0,105.24213
105.0,0.346,115.0,2.03,44.0,102.1824
105.0,0.346,115.0,2.03,116.0,97.82447
105.0,0.346,115.0,2.03,166.0,95.01044999999999
105.0,0.346,115.0,2.03,202.0,93.08201
105.0,0.346,115.0,2.03,239.0,91.17994999999999
105.0,0.346,115.0,2.03,299.0,88.25546
105.0,0.346,115.0,2.03,393.0,84.0317
105.0,0.346,115.0,2.03,612.0,75.59900999999999
110.0,0.38,110.0,2.02,-34.0,112.58847
110.0,0.38,110.0,2.02,-18.0,111.38465
110.0,0.38,110.0,2.02,52.0,106.40619000000001
110.0,0.38,110.0,2.02,110.0,102.6058
110.0,0.38,110.0,2.02,147.0,100.31977
110.0,0.38,110.0,2.02,203.0,97.04681
110.0,0.38,110.0,2.02,234.0,95.32469999999999
110.0,0.38,110.0,2.02,282.0,92.77594
110.0,0.38,110.0,2.02,407.0,86.73396000000001
110.0,0.38,110.0,2.02,607.0,78.54617
100.0,0.28,116.0,2.1199999999999997,-33.0,102.15287
100.0,0.28,116.0,2.1199999999999997,-10.0,100.65212
100.0,0.28,116.0,2.1199999999999997,56.0,96.57983
100.0,0.28,116.0,2.1199999999999997,103.0,93.87497
100.0,0.28,116.0,2.1199999999999997,153.0,91.15834
100.0,0.28,116.0,2.1199999999999997,214.0,88.05008000000001
100.0,0.28,116.0,2.1199999999999997,244.0,86.59735
100.0,0.28,116.0,2.1199999999999997,297.0,84.14505
100.0,0.28,116.0,2.1199999999999997,403.0,79.63394
100.0,0.28,116.0,2.1199999999999997,611.0,72.05189999999999
115.0,0.3,130.0,1.8,-6.0,115.45244
115.0,0.3,130.0,1.8,5.0,114.66802
115.0,0.3,130.0,1.8,35.0,112.58265
115.0,0.3,130.0,1.8,87.0,109.14201
115.0,0.3,130.0,1.8,152.0,105.12528
115.0,0.3,130.0,1.8,181.0,103.42715
115.0,0.3,130.0,1.8,233.0,100.51531
115.0,0.3,130.0,1.8,289.0,97.55682
115.0,0.3,130.0,1.8,416.0,91.45213000000001
115.0,0.3,130.0,1.8,580.0,84.61242999999999
115.0,0.307,173.0,1.86,-25.0,116.89578999999999
115.0,0.307,173.0,1.86,-17.0,116.291
115.0,0.307,173.0,1.86,59.0,110.84226
115.0,0.307,173.0,1.86,82.0,109.2923
115.0,0.307,173.0,1.86,130.0,106.19299000000001
115.0,0.307,173.0,1.86,186.0,102.79217999999999
115.0,0.307,173.0,1.86,230.0,100.26846
115.0,0.307,173.0,1.86,283.0,97.38853999999999
115.0,0.307,173.0,1.86,383.0,92.38127
115.0,0.307,173.0,1.86,604.0,82.95223
110.0,0.38,137.0,1.89,-11.0,110.8137
110.0,0.38,137.0,1.89,4.0,109.78919
110.0,0.38,137.0,1.89,68.0,105.62214
110.0,0.38,137.0,1.89,102.0,103.53446000000001
110.0,0.38,137.0,1.89,158.0,100.26965
110.0,0.38,137.0,1.89,182.0,98.93219
110.0,0.38,137.0,1.89,263.0,94.67067
110.0,0.38,137.0,1.89,285.0,93.57538000000001
110.0,0.38,137.0,1.89,406.0,87.97780999999999
110.0,0.38,137.0,1.89,589.0,80.67545
110.0,0.38,110.0,2.02,-16.0,111.23598
110.0,0.38,110.0,2.02,-10.0,110.79233
110.0,0.38,110.0,2.02,68.0,105.33004
110.0,0.38,110.0,2.02,80.0,104.53707
110.0,0.38,110.0,2.02,150.0,100.13886
110.0,0.38,110.0,2.02,204.0,96.99001
110.0,0.38,110.0,2.02,264.0,93.71573
110.0,0.38,110.0,2.02,317.0,91.00108
110.0,0.38,110.0,2.02,413.0,86.46387
110.0,0.38,110.0,2.02,615.0,78.2506
110.0,0.38,110.0,2.02,-27.0,112.05825999999999
110.0,0.38,110.0,2.02,-3.0,110.27883
110.0,0.38,110.0,2.02,69.0,105.26382000000001
110.0,0.38,110.0,2.02,86.0,104.14504
110.0,0.38,110.0,2.02,135.0,101.04997
110.0,0.38,110.0,2.02,188.0,97.90213
110.0,0.38,110.0,2.02,237.0,95.16129
110.0,0.38,110.0,2.02,285.0,92.62086000000001
110.0,0.38,110.0,2.02,400.0,87.05171
110.0,0.38,110.0,2.02,601.0,78.76931
115.0,0.307,189.0,1.8399999999999996,-22.0,116.65033
115.0,0.307,189.0,1.8399999999999996,-12.0,115.90644999999999
115.0,0.307,189.0,1.8399999999999996,30.0,112.88305
115.0,0.307,189.0,1.8399999999999996,100.0,108.17900999999999
115.0,0.307,189.0,1.8399999999999996,143.0,105.47868
115.0,0.307,189.0,1.8399999999999996,196.0,102.33030000000001
115.0,0.307,189.0,1.8399999999999996,245.0,99.58153
115.0,0.307,189.0,1.8399999999999996,296.0,96.87337
115.0,0.307,189.0,1.8399999999999996,387.0,92.3887
115.0,0.307,189.0,1.8399999999999996,614.0,82.82222
115.0,0.3,130.0,1.8,-2.0,115.16566
115.0,0.3,130.0,1.8,-2.0,115.16566
115.0,0.3,130.0,1.8,54.0,111.30057000000001
115.0,0.3,130.0,1.8,117.0,107.25048
115.0,0.3,130.0,1.8,160.0,104.65116
115.0,0.3,130.0,1.8,189.0,102.96816
115.0,0.3,130.0,1.8,252.0,99.49142
115.0,0.3,130.0,1.8,302.0,96.8948
115.0,0.3,130.0,1.8,388.0,92.73139
115.0,0.3,130.0,1.8,602.0,83.77189
105.0,0.346,115.0,2.02,-25.0,106.72974
105.0,0.346,115.0,2.02,-19.0,106.31949
105.0,0.346,115.0,2.02,31.0,103.02046
105.0,0.346,115.0,2.02,105.0,98.49654
105.0,0.346,115.0,2.02,155.0,95.65783
105.0,0.346,115.0,2.02,217.0,92.35682000000001
105.0,0.346,115.0,2.02,236.0,91.39035000000001
105.0,0.346,115.0,2.02,308.0,87.9037
105.0,0.346,115.0,2.02,381.0,84.6295
105.0,0.346,115.0,2.02,588.0,76.54267
100.0,0.28,116.0,2.1199999999999997,-37.0,102.41847
100.0,0.28,116.0,2.1199999999999997,-6.0,100.39558
100.0,0.28,116.0,2.1199999999999997,50.0,96.93638
100.0,0.28,116.0,2.1199999999999997,116.0,93.15316
100.0,0.28,116.0,2.1199999999999997,167.0,90.42592
100.0,0.28,116.0,2.1199999999999997,214.0,88.05008000000001
100.0,0.28,116.0,2.1199999999999997,239.0,86.83623
100.0,0.28,116.0,2.1199999999999997,291.0,84.41571
100.0,0.28,116.0,2.1199999999999997,403.0,79.63394
100.0,0.28,116.0,2.1199999999999997,580.0,73.08931
110.0,0.38,110.0,2.02,-32.0,112.43657
110.0,0.38,110.0,2.02,-3.0,110.27883
110.0,0.38,110.0,2.02,43.0,107.02121000000001
110.0,0.38,110.0,2.02,99.0,103.30561999999999
110.0,0.38,110.0,2.02,139.0,100.80539
110.0,0.38,110.0,2.02,211.0,96.59656
110.0,0.38,110.0,2.02,233.0,95.37957
110.0,0.38,110.0,2.02,292.0,92.26191
110.0,0.38,110.0,2.02,383.0,87.83228
110.0,0.38,110.0,2.02,604.0,78.65756
190.0,0.22,26.8,1.8999999999999997,-28.0,195.93586
190.0,0.22,26.8,1.8999999999999997,15.0,186.96206
190.0,0.22,26.8,1.8999999999999997,33.0,183.44463000000002
190.0,0.22,26.8,1.8999999999999997,119.0,168.31443
190.0,0.22,26.8,1.8999999999999997,153.0,162.99806
190.0,0.22,26.8,1.8999999999999997,197.0,156.5967
190.0,0.22,26.8,1.8999999999999997,269.0,147.14028
190.0,0.22,26.8,1.8999999999999997,291.0,144.47384
190.0,0.22,26.8,1.8999999999999997,413.0,131.27951000000002
190.0,0.22,26.8,1.8999999999999997,592.0,115.76232
115.0,0.307,189.0,1.8399999999999996,-14.0,116.05453999999999
115.0,0.307,189.0,1.8399999999999996,-19.0,116.42624
115.0,0.307,189.0,1.8399999999999996,63.0,110.6153
115.0,0.307,189.0,1.8399999999999996,92.0,108.69699
115.0,0.307,189.0,1.8399999999999996,144.0,105.41761
115.0,0.307,189.0,1.8399999999999996,186.0,102.90965
115.0,0.307,189.0,1.8399999999999996,249.0,99.36382
115.0,0.307,189.0,1.8399999999999996,280.0,97.70703999999999
115.0,0.307,189.0,1.8399999999999996,414.0,91.13698
115.0,0.307,189.0,1.8399999999999996,583.0,84.01039
105.0,0.346,115.0,2.03,-40.0,107.78277
105.0,0.346,115.0,2.03,-4.0,105.30931
105.0,0.346,115.0,2.03,42.0,102.30914
105.0,0.346,115.0,2.03,119.0,97.65101
105.0,0.346,115.0,2.03,165.0,95.06494
105.0,0.346,115.0,2.03,208.0,92.76836
105.0,0.346,115.0,2.03,260.0,90.13474000000001
105.0,0.346,115.0,2.03,301.0,88.16107000000001
105.0,0.346,115.0,2.03,387.0,84.28908
105.0,0.346,115.0,2.03,611.0,75.63392999999999
115.0,0.307,159.0,1.8699999999999997,-9.0,115.69564
115.0,0.307,159.0,1.8699999999999997,-6.0,115.47158999999999
115.0,0.307,159.0,1.8699999999999997,44.0,111.8605
115.0,0.307,159.0,1.8699999999999997,80.0,109.39672
115.0,0.307,159.0,1.8699999999999997,134.0,105.8977
115.0,0.307,159.0,1.8699999999999997,218.0,100.8781
115.0,0.307,159.0,1.8699999999999997,242.0,99.53005999999999
115.0,0.307,159.0,1.8699999999999997,281.0,97.41445
115.0,0.307,159.0,1.8699999999999997,400.0,91.48046000000001
115.0,0.307,159.0,1.8699999999999997,587.0,83.48625
115.0,0.307,189.0,1.8399999999999996,-18.0,116.3515
115.0,0.307,189.0,1.8399999999999996,7.0,114.51901
115.0,0.307,189.0,1.8399999999999996,46.0,111.77199
115.0,0.307,189.0,1.8399999999999996,114.0,107.28499000000001
115.0,0.307,189.0,1.8399999999999996,131.0,106.21872
115.0,0.307,189.0,1.8399999999999996,180.0,103.26048
115.0,0.307,189.0,1.8399999999999996,246.0,99.52709
115.0,0.307,189.0,1.8399999999999996,284.0,97.49714
115.0,0.307,189.0,1.8399999999999996,396.0,91.96775
115.0,0.307,189.0,1.8399999999999996,601.0,83.31636
105.0,0.346,115.0,2.03,-22.0,106.53187
105.0,0.346,115.0,2.03,4.0,104.77496000000001
105.0,0.346,115.0,2.03,55.0,101.49150999999999
105.0,0.346,115.0,2.03,88.0,99.47458
105.0,0.346,115.0,2.03,140.0,96.45349
105.0,0.346,115.0,2.03,203.0,93.02977
105.0,0.346,115.0,2.03,251.0,90.57963000000001
105.0,0.346,115.0,2.03,316.0,87.46045
105.0,0.346,115.0,2.03,398.0,83.818
105.0,0.346,115.0,2.03,611.0,75.63392999999999
110.0,0.375,140.0,1.91,-26.0,111.87556
110.0,0.375,140.0,1.91,17.0,108.90146
110.0,0.375,140.0,1.91,51.0,106.65888000000001
110.0,0.375,140.0,1.91,87.0,104.38286
110.0,0.375,140.0,1.91,167.0,99.65661999999999
110.0,0.375,140.0,1.91,191.0,98.32081
110.0,0.375,140.0,1.91,243.0,95.54593
110.0,0.375,140.0,1.91,298.0,92.77572
110.0,0.375,140.0,1.91,412.0,87.51544
110.0,0.375,140.0,1.91,588.0,80.46878
110.0,0.38,110.0,2.02,-2.0,110.20625
110.0,0.38,110.0,2.02,18.0,108.76778
110.0,0.38,110.0,2.02,68.0,105.33004
110.0,0.38,110.0,2.02,118.0,102.10275999999999
110.0,0.38,110.0,2.02,148.0,100.25939
110.0,0.38,110.0,2.02,183.0,98.19098
110.0,0.38,110.0,2.02,241.0,94.9443
110.0,0.38,110.0,2.02,298.0,91.95621000000001
110.0,0.38,110.0,2.02,400.0,87.05171
110.0,0.38,110.0,2.02,610.0,78.43503999999999
115.0,0.307,159.0,1.8699999999999997,-21.0,116.601
115.0,0.307,159.0,1.8699999999999997,-19.0,116.44942999999999
115.0,0.307,159.0,1.8699999999999997,46.0,111.72064999999999
115.0,0.307,159.0,1.8699999999999997,119.0,106.84708
115.0,0.307,159.0,1.8699999999999997,144.0,105.27407000000001
115.0,0.307,159.0,1.8699999999999997,195.0,102.20474
115.0,0.307,159.0,1.8699999999999997,249.0,99.14352000000001
115.0,0.307,159.0,1.8699999999999997,298.0,96.51997
115.0,0.307,159.0,1.8699999999999997,401.0,91.43348
115.0,0.307,159.0,1.8699999999999997,597.0,83.09758000000001
115.0,0.307,159.0,1.8699999999999997,-36.0,117.75263000000001
115.0,0.307,159.0,1.8699999999999997,15.0,113.92717
115.0,0.307,159.0,1.8699999999999997,68.0,110.20562
115.0,0.307,159.0,1.8699999999999997,85.0,109.06269999999999
115.0,0.307,159.0,1.8699999999999997,154.0,104.65774
115.0,0.307,159.0,1.8699999999999997,199.0,101.9717
115.0,0.307,159.0,1.8699999999999997,258.0,98.65117
115.0,0.307,159.0,1.8699999999999997,303.0,96.2603
115.0,0.307,159.0,1.8699999999999997,415.0,90.78322
115.0,0.307,159.0,1.8699999999999997,615.0,82.40764
105.0,0.346,123.0,2.08,-39.0,107.77998
105.0,0.346,123.0,2.08,19.0,103.75689
105.0,0.346,123.0,2.08,54.0,101.47112
105.0,0.346,123.0,2.08,112.0,97.89661
105.0,0.346,123.0,2.08,147.0,95.85847
105.0,0.346,123.0,2.08,217.0,92.02664
105.0,0.346,123.0,2.08,236.0,91.03864999999999
105.0,0.346,123.0,2.08,289.0,88.39155000000001
105.0,0.346,123.0,2.08,384.0,84.01195
105.0,0.346,123.0,2.08,605.0,75.32625
105.0,0.346,115.0,2.03,-40.0,107.78277
105.0,0.346,115.0,2.03,4.0,104.77496000000001
105.0,0.346,115.0,2.03,63.0,100.99503999999999
105.0,0.346,115.0,2.03,82.0,99.83521
105.0,0.346,115.0,2.03,135.0,96.73579
105.0,0.346,115.0,2.03,192.0,93.60987
105.0,0.346,115.0,2.03,251.0,90.57963000000001
105.0,0.346,115.0,2.03,287.0,88.82534
105.0,0.346,115.0,2.03,413.0,83.18432000000001
105.0,0.346,115.0,2.03,581.0,76.68872999999999
200.0,0.285,173.0,6.45e-06,-29.0,202.29531
200.0,0.285,173.0,6.45e-06,-1.0,200.10689000000002
200.0,0.285,173.0,6.45e-06,55.0,195.86946
200.0,0.285,173.0,6.45e-06,93.0,193.09474
200.0,0.285,173.0,6.45e-06,168.0,187.84206
200.0,0.285,173.0,6.45e-06,189.0,186.42148999999998
200.0,0.285,173.0,6.45e-06,236.0,183.31894
200.0,0.285,173.0,6.45e-06,308.0,178.76282
200.0,0.285,173.0,6.45e-06,419.0,172.16469
200.0,0.285,173.0,6.45e-06,612.0,161.77946
110.0,0.375,120.0,1.99,-9.0,110.70667999999999
110.0,0.375,120.0,1.99,-3.0,110.27342
110.0,0.375,120.0,1.99,53.0,106.38683999999999
110.0,0.375,120.0,1.99,83.0,104.41555
110.0,0.375,120.0,1.99,140.0,100.86336999999999
110.0,0.375,120.0,1.99,185.0,98.22486
110.0,0.375,120.0,1.99,246.0,94.8605
110.0,0.375,120.0,1.99,301.0,92.01850999999999
110.0,0.375,120.0,1.99,405.0,87.08371000000001
110.0,0.375,120.0,1.99,582.0,79.79764
115.0,0.307,189.0,1.8399999999999996,-17.0,116.2772
115.0,0.307,189.0,1.8399999999999996,9.0,114.37481
115.0,0.307,189.0,1.8399999999999996,38.0,112.32459
115.0,0.307,189.0,1.8399999999999996,111.0,107.4753
115.0,0.307,189.0,1.8399999999999996,138.0,105.78608
115.0,0.307,189.0,1.8399999999999996,206.0,101.75681
115.0,0.307,189.0,1.8399999999999996,238.0,99.96519
115.0,0.307,189.0,1.8399999999999996,296.0,96.87337
115.0,0.307,189.0,1.8399999999999996,396.0,91.96775
115.0,0.307,189.0,1.8399999999999996,593.0,83.62339
105.0,0.346,115.0,2.02,-21.0,106.456
105.0,0.346,115.0,2.02,-8.0,105.57585
105.0,0.346,115.0,2.02,46.0,102.07035
105.0,0.346,115.0,2.02,112.0,98.08913000000001
105.0,0.346,115.0,2.02,163.0,95.21874000000001
105.0,0.346,115.0,2.02,199.0,93.29161
105.0,0.346,115.0,2.02,268.0,89.80711
105.0,0.346,115.0,2.02,287.0,88.89264999999999
105.0,0.346,115.0,2.02,401.0,83.77457000000001
105.0,0.346,115.0,2.02,590.0,76.47194999999999
115.0,0.3,130.0,1.8,-14.0,116.02919
115.0,0.3,130.0,1.8,-8.0,115.59582
115.0,0.3,130.0,1.8,55.0,111.23407
115.0,0.3,130.0,1.8,98.0,108.44091999999999
115.0,0.3,130.0,1.8,153.0,105.06594
115.0,0.3,130.0,1.8,186.0,103.13997
115.0,0.3,130.0,1.8,236.0,100.35242
115.0,0.3,130.0,1.8,304.0,96.79372000000001
115.0,0.3,130.0,1.8,411.0,91.67795
115.0,0.3,130.0,1.8,581.0,84.57376
115.0,0.307,173.0,1.86,-9.0,115.69242999999999
115.0,0.307,173.0,1.86,-16.0,116.21597
115.0,0.307,173.0,1.86,38.0,112.2962
115.0,0.307,173.0,1.86,96.0,108.37003
115.0,0.307,173.0,1.86,153.0,104.76929
115.0,0.307,173.0,1.86,194.0,102.32402
115.0,0.307,173.0,1.86,238.0,99.82322
115.0,0.307,173.0,1.86,303.0,96.34438
115.0,0.307,173.0,1.86,383.0,92.38127
115.0,0.307,173.0,1.86,602.0,83.029
115.0,0.307,173.0,1.86,-14.0,116.06586
115.0,0.307,173.0,1.86,-20.0,116.51702
115.0,0.307,173.0,1.86,51.0,111.39132000000001
115.0,0.307,173.0,1.86,94.0,108.5006
115.0,0.307,173.0,1.86,134.0,105.9428
115.0,0.307,173.0,1.86,214.0,101.17188
115.0,0.307,173.0,1.86,252.0,99.05302
115.0,0.307,173.0,1.86,283.0,97.38853999999999
115.0,0.307,173.0,1.86,404.0,91.39434
115.0,0.307,173.0,1.86,603.0,82.99047
105.0,0.346,120.0,2.08,-5.0,105.38489
105.0,0.346,120.0,2.08,8.0,104.49671000000001
105.0,0.346,120.0,2.08,60.0,101.08941
105.0,0.346,120.0,2.08,111.0,97.9559
105.0,0.346,120.0,2.08,159.0,95.17929
105.0,0.346,120.0,2.08,218.0,91.9743
105.0,0.346,120.0,2.08,231.0,91.29666
105.0,0.346,120.0,2.08,300.0,87.86124000000001
105.0,0.346,120.0,2.08,409.0,82.93052
105.0,0.346,120.0,2.08,607.0,75.25589
110.0,0.07,147.0,1.64,-8.0,110.47163
110.0,0.07,147.0,1.64,-10.0,110.59222
110.0,0.07,147.0,1.64,59.0,106.58864
110.0,0.07,147.0,1.64,83.0,105.26336
110.0,0.07,147.0,1.64,143.0,102.0896
110.0,0.07,147.0,1.64,199.0,99.2955
110.0,0.07,147.0,1.64,263.0,96.28314
110.0,0.07,147.0,1.64,308.0,94.27252
110.0,0.07,147.0,1.64,386.0,90.979
110.0,0.07,147.0,1.64,608.0,82.7496
115.0,0.28,180.0,1.8399999999999996,-4.0,115.30729
115.0,0.28,180.0,1.8399999999999996,-15.0,116.11871000000001
115.0,0.28,180.0,1.8399999999999996,57.0,111.00595
115.0,0.28,180.0,1.8399999999999996,80.0,109.46615
115.0,0.28,180.0,1.8399999999999996,152.0,104.91047
115.0,0.28,180.0,1.8399999999999996,197.0,102.25053
115.0,0.28,180.0,1.8399999999999996,230.0,100.38387
115.0,0.28,180.0,1.8399999999999996,287.0,97.31489
115.0,0.28,180.0,1.8399999999999996,391.0,92.17309
115.0,0.28,180.0,1.8399999999999996,590.0,83.70724
115.0,0.307,173.0,1.86,-35.0,117.66081
115.0,0.307,173.0,1.86,8.0,114.4404
115.0,0.307,173.0,1.86,56.0,111.04761
115.0,0.307,173.0,1.86,108.0,107.59154
115.0,0.307,173.0,1.86,146.0,105.19863000000001
115.0,0.307,173.0,1.86,215.0,101.11507
115.0,0.307,173.0,1.86,248.0,99.27172999999999
115.0,0.307,173.0,1.86,284.0,97.3359
115.0,0.307,173.0,1.86,402.0,91.4875
115.0,0.307,173.0,1.86,614.0,82.57074
110.0,0.38,137.0,1.89,-40.0,112.84953
110.0,0.38,137.0,1.89,-10.0,110.7445
110.0,0.38,137.0,1.89,46.0,107.0188
110.0,0.38,137.0,1.89,101.0,103.59464999999999
110.0,0.38,137.0,1.89,143.0,101.12388
110.0,0.38,137.0,1.89,213.0,97.25703999999999
110.0,0.38,137.0,1.89,247.0,95.48319000000001
110.0,0.38,137.0,1.89,312.0,92.26574000000001
110.0,0.38,137.0,1.89,388.0,88.76780000000001
110.0,0.38,137.0,1.89,602.0,80.20257000000001
105.0,0.346,123.0,2.08,-13.0,105.93862
105.0,0.346,123.0,2.08,17.0,103.8908
105.0,0.346,123.0,2.08,61.0,101.02597
105.0,0.346,123.0,2.08,95.0,98.91791
105.0,0.346,123.0,2.08,140.0,96.25924
105.0,0.346,123.0,2.08,184.0,93.79438
105.0,0.346,123.0,2.08,237.0,90.98742999999999
105.0,0.346,123.0,2.08,300.0,87.86124000000001
105.0,0.346,123.0,2.08,414.0,82.71767999999999
105.0,0.346,123.0,2.08,597.0,75.60931
110.0,0.375,140.0,1.91,-15.0,111.09926
110.0,0.375,140.0,1.91,-8.0,110.61114
110.0,0.375,140.0,1.91,34.0,107.76836
110.0,0.375,140.0,1.91,116.0,102.61876
110.0,0.375,140.0,1.91,157.0,100.2241
110.0,0.375,140.0,1.91,183.0,98.76209
110.0,0.375,140.0,1.91,244.0,95.49388
110.0,0.375,140.0,1.91,300.0,92.67787
110.0,0.375,140.0,1.91,418.0,87.25488
110.0,0.375,140.0,1.91,602.0,79.95639
110.0,0.38,110.0,2.02,-39.0,112.96964
110.0,0.38,110.0,2.02,-4.0,110.35219000000001
110.0,0.38,110.0,2.02,39.0,107.29684
110.0,0.38,110.0,2.02,81.0,104.47185
110.0,0.38,110.0,2.02,132.0,101.23418
110.0,0.38,110.0,2.02,206.0,96.87719
